id,code_prefix_start,code_prefix_end,name
711,711000,711999,711 DİREKT İLKMADDE VE MALZEME YANSITMA HESABI
712,712000,712999,712 DİREKT İLKMADDE VE MALZEME FİYAT FARKI
713,713000,713999,713 DİREKT İLKMADDE VE MALZEME MİKTAR FARKI
720,720000,720999,720 DİREKT İŞÇİLİK GİDERLERİ
721,721000,721999,721 DİREKT İŞCİLİK GİDERLERİ YANSITMA HESABI
722,722000,722999,722 DİREKT İŞÇİLİK ÜCRET FARKLARI
723,723000,723999,723 DİREKT İŞÇİLİK SÜRE (ZAMAN) FARKLARI
730,730000,730999,730 GENEL ÜRETİM GİDERLERİ
731,731000,731999,731 GENEL ÜRETİM GİDERLERİ YANSITMA HESABI
732,732000,732999,732 GENEL ÜRETİM GİDERLERİ BÜTÇE FARKLARI
733,733000,733999,733 GENEL ÜRETİM GİDERLERİ VERİMLİLİK FARKLARI
734,734000,734999,734 GENEL ÜRETİM GİDERLERİ KAPASİTE FARKLARI
740,740000,740999,740 HİZMET ÜRETİM MALİYETİ
741,741000,741999,741 HİZMET ÜRETİM MALİYETİ YANSITMA HESABI
742,742000,742999,742 HİZMET ÜRETİM MALİYETİ FARK HESAPLARI
750,750000,750999,750 ARAŞTIRMA VE GELİŞTİRME GİDERLERİ
751,751000,751999,751 ARAŞTIRMA VE GELİŞTİRME GİDERLERİ YANSITMA HESABI
752,752000,752999,752 ARAŞTIRMA VE GELİŞTİRME GİDER FARKLARI
760,760000,760999,760 PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ
761,761000,761999,761 PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ YANSITMA HESABI
762,762000,762999,762 PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ FARK HESABI
770,770000,770999,770 GENEL YÖNETİM GİDERLERİ
771,771000,771999,771 GENEL YÖNETİM GİDERLERİ YANSITMA HESABI
772,772000,772999,772 GENEL YÖNETİM GİDER FARKLARI HESABI
780,780000,780999,780 FİNANSMAN GİDERLERİ
781,781000,781999,781 FİNANSMAN GİDERLERİ YANSITMA HESABI
782,782000,782999,782 FİNANSMAN GİDERLERİ FARK HESABI
790,790000,790999,790 İLKMADDE VE MALZEME GİDERLERİ
791,791000,791999,791 İŞÇİ ÜCRET VE GİDERLERİ
792,792000,792999,792 MEMUR ÜCRET VE GİDERLERİ
793,793000,793999,793 DIŞARIDAN SAĞLANAN FAYDA VE HİZMETLER
794,794000,794999,794 ÇEŞİTLİ GİDERLER
795,795000,795999,"795 VERGİ, RESİM VE HARÇLAR"
796,796000,796999,796 AMORTİSMANLAR VE TÜKENME PAYLARI
797,797000,797999,797 FİNANSMAN GİDERLERİ
798,798000,798999,798 GİDER ÇEŞİTLERİ YANSITMA HESABI
799,799000,799999,799 ÜRETİM MALİYET HESABI
